America Windows,150.mp3,"""Narrator:  These luminous blue stained glass panels were made in 1977 by Marc Chagall. Stephanie D’Alessandro, Gary C. and Frances Comer, Curator of Modern Art. 
Stephanie D’Alessandro:  The Chagall windows were given to the Art Institute in 1977 to commemorate the American bicentennial and the tenure of Chicago Mayor Richard J. Daley who died in 1976. They are called “America Windows”. For Chagall, a Jewish artist born in Russia born in Russia, the American bicentennial was very important. As a result of antisemitism in his homeland Chagall was denied the opportunities that were available to other artists. He moved to France where he would spend most of his life except for a short period during the 1940s when Nazi persecution forced him to flee to the United States. “America Windows” celebrates the aspect of American life that Chagall most admired during his time here, its social and artistic freedom. Divided into six panels, each part of the window is dedicated to a particular theme. Beginning on the left the first panel is devoted to music. In it you’ll see violins, the musical score and a musician blowing a horn. Panel two celebrates fine art with a palette, canvas and still life arrangement. The third panel recognizes the Declaration of Independence which lies on the desk and literature more generally. “America Windows” fourth panel further celebrates the spirit of liberty with images of an eagle and the Statue of Liberty, as well as the American achievements of the great city and skyscraper represented here by the Chicago skyline. Panel five is dedicated to drama and shows a harlequin extending his mask to an actor who wears an elaborate costume. The last panel honors dance with three folk performers. Just below them and floating among the other figures is a goat, an image Chagall frequently used to insert himself symbolically into his work and by extension into this joyful celebration of American liberty and creativity 
Narrator:  To hear what the museum conservators learned about how the windows were made as they cleaned and restored them, press play."""
Statue of Young Dionysos,171.mp3,"""Narrator:  This large scale bronze dating from about the first century B.C. to the first century A.D. depicts Dionysus the god of wine and theater who was worshiped widely throughout the Mediterranean. This statue was probably made in the area of present day Syria, Lebanon and Israel. The son of Zeus, the most powerful god, and Semele, a mortal, Dionysius was in Roman times often portrayed as he is here as an adolescent youth. His lips may have originally been wrought from copper and his flowing locks of hair echo a style often worn by athletes or gods. It’s bound by a thin headband and a twisted grapevine which once may have had leaves and grapes. His gently curled right hand probably cradled a bunch of grapes or a kantharos, a long handled wine cup. His left hand would have held a thyrsus, a staff topped with a pinecone that was associated with the worship of Dionysus. In Greek vase painting and Roman sculpture, Dionysus is usually shown surrounded by satyrs, half-human half-beast and a retinue of female followers. In his role as the god of theater, his followers were known for staging elaborate festivals marked by drinking, dancing and feasting, the extreme of which left participants in a trance like state of ekstasis, the origin of the English word ecstasy. To this day, the adjective Dionysian describes unbridled celebration and excess. To hear more about how the statue was assembled, press play."""
King Vulture,201.mp3,"""Narrator:  This magnificent king vulture is powerfully modeled from the feathers of its sweeping wings to its sharp cool claws. It perches on a tree stump whose white glaze is a perfect foil to its strong coloring. The vulture was made in 1734 at the famous Meissen porcelain factory near Dresden in Germany. Founded in 1710 under the patronage of King Augustus the Strong, ruler of Saxony, Meissen was the first European factory to discover how to make hard paste porcelain. This material previously only had been made in China and since the seventeenth century in Japan. August the Strong was Meissen’s foremost client. A passionate lover of art and architecture, Augustus commissioned porcelain sculptures of the birds and animals of the world. Curator Ghenete Zelleke. 
Ghenete Zelleke:  One of its great sculptors, a man by the name of Johann Joachim Kändler was set to work on creating an aviary and menagerie of birds and animals in porcelain. Augustus the Strong had a king vulture in his aviary in Dresden and there are records for Kändler drawing this from life. So I think he really was able to infuse this bird, this sculpture with the essence of its life."""
Teapot,202.mp3,"""Narrator:  Curator Ghenete Zelleke. 
Ghenete Zelleke:  This is a particularly exquisite example of a tea service for two. It was made in the first years of the eighteenth century at a time when tea was becoming increasingly popular in Europe. And tea had long been an import from China and as such was particularly expensive. Here you have the most magnificent teapot in that it is made of silver gilt and then is further ornamented with these brilliant panels of enamel colors painted with narrative scenes. 
Narrator:  The cups and saucers decorations symbolizes the four elements. The saucer to the left represents water with Neptune classical god of the sea. Its cup features fire in the furnace of Vulcan blacksmith to the gods. The other saucer depicts the goddess Cybele presented with the earth’s bounty. And on its cup air is personified by Juno, queen of the gods with her peacock. The teapot itself shows the shepherd Paris presenting the golden apple to Venus whom he has chosen as the most beautiful of the goddesses. This narrative includes the character shown on the cups and saucers linking the different parts of this magnificent tea set with a common theme."""
"Clock Case and ""Onion"" Watch with Leather Case",203.mp3,"""<music>
Narrator:  Small intricately modeled clocks were among the most difficult forms to create in porcelain. This piece was made in 1725 by the du Paquier porcelain manufactory in Vienna, Austria. It is actually a case made to hold the large onion watch which you see displayed next to it. The clock case has strong connections with domestic design. Curator Ghenete Zelleke. 
Ghenete Zelleke:  This clock in its structure and overall decoration very much resembles the large ovens that would have been set in the corners of aristocratic rooms to heat the rooms in the winter. And the modeler basically took that form and reduced it to make this tower like clock case. The decoration that you see on the clock particularly that of the eagle standing on a globe and then the profile of a man looking right all have to do with the Hapsburgs who were the rulers of the Holy Roman Empire at this time of which Vienna was the capital city. 
Narrator:  The profile is that of that of the Emperor Charles VI who gave the du Paquier manufactory an exclusive patent to produce fine porcelain in 1718."""
Tureen,204.mp3,"""Narrator:  All of the objects in this case were made at the du Paquier porcelain manufactory established in Vienna, Austria in 1718. The manufactory’s founder Claudius du Paquier wanted to capitalize on the new demand for European hard paste porcelain. Previously, objects made from this luxury material had to be imported from China and more recently Japan. But in the early eighteen century German ceramicists at Meissen finally discovered the secret of making hard paste porcelain. The du Paquier manufactory was only active for twenty-five years but in this time it produced an extraordinary range of porcelains. Chinese influenced designs were extremely popular in Europe at this time. You can see several examples of this style in the case, including this soup tureen. It is painted with overblown peonies and flowering cherry tree branches. Vividly colored birds perch and fly among them. In the long case to the right, you will find other pieces of du Paquier porcelain. These have ornamental borders of scrolling patterns, trellis work and stylized foliage also typical of the elegant du Paquier style."""
Console Table,207.mp3,"""<music>
Narrator:  In this gallery you will find paintings, sculpture and decorative arts from the seventeenth and eighteenth century France. This extravagantly carved and gilded side table was made in France around 1735. It is richly carved with undulating curves and forms derived from natural sources such as shelves, leaves and branches. This style is known as rococo. It was named after the French word rocaille which described the fanciful rock work used to embellish waterfalls and grottos in aristocratic gardens. Notice also the heads at either end of the table personifying the winds ready to blow a gentle breeze. Originally, the table was likely placed beneath a hanging mirror made in the same style. Curator Ghenete Zelleke. 
Ghenete Zelleke:  Imagine this in candlelight at the end of the day when the light would flicker and be reflected by these many different curves and carvings making it seem almost alive. 
Narrator:  Now, walk over to the large case containing porcelain, press the play button when you are ready to hear more."""
Tureen and Stand,208.mp3,"""<music>
Narrator:  Imagine this magnificent silver tureen set on a dining table in a splendid Paris mansion or chateau in the French countryside. It’s curved surfaces gleaming in the candlelight. It would have been part of a splendid display of tableware including candelabra, lavish serving platters and perhaps tiered stands displaying fruits and sweet meets and exquisitely hand painted porcelain dishes. The tureen is a masterpiece of the silversmith’s art. Look at the babies that hold up its handles on either side. They are wonderfully realized with naturalistic ringlets and curls in their hair and dimpled chubby cheeks and arms. Notice also the tureen stand whose fluted contours reflect light back on to the silver above. The tureen was made in the workshop of François-Thomas Germain, one of the most celebrated silversmiths in France in the mid-eighteenth century. Germain’s patrons included the kings of France and Portugal as well as wealthy aristocrats throughout Europe."""
Londonderry Vase,209.mp3,"""Narrator:  This monumental vase with its lavish decorations was obviously designed to make an unforgettable impact. It was made in 1813 at the celebrated Sèvres porcelain manufactory just outside Paris which produced only a few such large and technically challenging pieces. The vase’s elegantly elongated form is based on agent Roman vessels and its tall handles end and roundels recalling classical medals or coins. Ancient art and imagery especially that of the imperial Roman period was very fashionable at this time especially in France. Lustrous gilding covers the vase’s white porcelain surface making it resemble gilded bronze. It is decorated with exquisitely detailed flowers, foliage and lifelike birds whose feathers almost seem to quiver as they each draw breath. Sèvres painters were especially celebrated for their extraordinary ability to reproduce incredibly detailed imagery on smooth porcelain. Almost all of the Sèvres vases of this size and period were made as important imperial or diplomatic gifts. This one was presented as part of the peace negotiations between France and Britain at the end of the Napoleonic wars. It was given to the British Ambassador Lord Castlereagh by Talleyrand the French Foreign Minister. Castlereagh eventually inherited the title of Marquess of Londonderry and so this magnificent vase has come to be called after his family name."""
Still Life with Ostrich Egg Cup and the Whitfield Heirlooms,211.mp3,"""Narrator:  This elegant cup was made in England in 1590 by a silversmith who worked for Queen Elizabeth I. It’s elaborate silver gilt cover and stem have set off the ivory surface of a most unusual material, an ostrich egg. Thought to be laid by the mythical griffin ostrich eggs were then highly prized and very costly in Europe. The cup belonged to John Whitfield a wealthy London lawyer connected with the royal court. In fact, the cup may have been given to Whitfield by Queen Elizabeth herself, a silver gilt Tudor rose emblem of her family is mounted inside the ostrich egg. Curator Ghenete Zelleke.
Ghenete Zelleke:  What’s doubly interesting about this cup is that it is featured in a painting by the Dutch still life painter Pieter Gerritsz van Roestraten. You see the ostrich cup in amongst a group of other precious objects including a watch, a gold chain, a lacquer box. 
Narrator:  The painting dates from about 1670. It was probably commissioned by John Whitfield’s grandson to commemorate some of this family’s most precious possessions and heirlooms."""
Horse and Rider,212.mp3,"""<horse neighing>
Narrator:  Rising up on its back hooves this powerful horse is controlled by its rider with a dramatic upward flick of the reigns. Notice how the rider’s figure rendered in cool silver is set off against the warm toned gilding of the horse’s body. This juxtaposition is especially dynamic in areas like the horse’s wild mane flowing against the muscular lines of his rider’s arm. This tour de force of the silversmith’s art was made in Southern Germany. It’s theme of horse and rider was a popular and illustrious one recalling ancient Greek and Roman imagery. We can imagine the horse and rider displayed on a multi-tiered sideboard with other precious items at a grand banquet. It might also have served as a ceremonial drinking cup. Look closely at the horse’s neck. There was a line running around it. The head could be lifted off and turned upside down to form a cup. At a banquet the cup could be filled with wine for each desk to drink from in turn. The horse and rider, made in the early seventeenth century, is one of the last examples in the German tradition of ceremonial drinking vessels designed in the form of heraldic mythological and other animals."""
